City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Polewali,ID,85.75,scattered clouds,-3.4324,119.3435,Lilianto Hotel
1,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
2,Bambous Virieux,MU,75.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
3,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
4,Lethem,GY,77.85,heavy intensity rain,3.3803,-59.7968,Savannah Inn
5,Atuona,PF,76.26,light rain,-9.8,-139.0333,Villa Enata
6,Road Town,VG,82.49,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
7,Puerto Escondido,MX,76.17,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
8,Hithadhoo,MV,82.02,scattered clouds,-0.6,73.0833,Scoop Guest House
9,Airai,TL,81.54,scattered clouds,-8.9266,125.4092,
10,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
11,Hirara,JP,86.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
12,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Pousada Camboinha
13,Nabire,ID,85.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
14,Tura,IN,82.78,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
15,Sao Filipe,CV,77.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
16,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
18,Kalamnuri,IN,76.12,overcast clouds,19.6667,77.3333,खंडोबा राव शेषराव गडदे
19,Basco,PH,80.47,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
20,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
21,Adrar,MR,87.82,overcast clouds,20.5022,-10.0711,
