City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
758,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
760,Adrar,MR,86.79,overcast clouds,20.5022,-10.0711,
762,Pedernales,DO,80.31,overcast clouds,18.0384,-71.744,Hotel Costa Marina
763,Labuhan,ID,88.92,broken clouds,-6.8844,112.2051,DoubleFAG
765,Luganville,VU,80.56,broken clouds,-15.5333,167.1667,The Espiritu Hotel
767,Butaritari,KI,82.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
768,Madimba,TZ,75.78,overcast clouds,-10.4,40.3333,
770,Manacapuru,BR,79.02,broken clouds,-3.2997,-60.6206,Novo Hotel
771,Poum,NC,75.72,scattered clouds,-20.2333,164.0167,
777,Ponta Delgada,PT,77.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
780,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
782,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
783,Dingle,PH,86.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
785,Vila Franca Do Campo,PT,77.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
788,Kijang,KR,76.73,few clouds,35.2442,129.2139,Samyang Beach Villa
794,Gorontalo,ID,76.68,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
798,Faanui,PF,78.58,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
799,Tipolo,PH,85.82,broken clouds,10.0196,124.5144,Globe Tower
800,Lorengau,PG,84.2,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
